Tourism_ID,Destination,Country,Continent,Tourism_Type,Best_Season,Average_Duration_Days,Estimated_Budget_USD,Rating,Annual_Visitors,Accommodation_Type,Transportation
T001,Los Angeles,USA,North America,City,Winter,3,504,4.6,133393,Hotel,Cruise
T002,Barcelona,Spain,Europe,City,Winter,11,3756,3.5,54123,Apartment,Cruise
T003,Paris,France,Europe,Wildlife,Winter,10,1928,4.6,372696,Homestay,Cruise
T004,Singapore,Singapore,Asia,Wildlife,Spring,14,353,4.6,88707,Hostel,Train
T005,Tokyo,Japan,Asia,Cultural,Spring,14,3057,3.7,204191,Hostel,Cruise
T006,Singapore,Singapore,Asia,Cultural,Autumn,14,655,4.6,286137,Hotel,Cruise
T007,Bali,Indonesia,Asia,Cultural,Summer,12,3262,4.4,374398,Resort,Bus
T008,Barcelona,Spain,Europe,Heritage,Winter,5,1127,4.1,242717,Hostel,Bus
T009,Tokyo,Japan,Asia,Cultural,All Season,12,2487,4.6,363375,Resort,Cruise
T010,Cairo,Egypt,Africa,City,Spring,5,1638,4.2,146530,Hotel,Train
T011,Rio de Janeiro,Brazil,South America,City,All Season,2,2884,4.1,39701,Hostel,Train
T012,Los Angeles,USA,North America,Luxury,Winter,9,3541,4.8,342039,Hostel,Train
T013,Bangkok,Thailand,Asia,Wildlife,All Season,13,4898,4.3,396650,Homestay,Bus
T014,Bangkok,Thailand,Asia,Beach,Summer,4,4474,4.2,401247,Resort,Train
T015,Marrakech,Morocco,Africa,Wildlife,All Season,12,3758,4.4,206728,Homestay,Cruise
T016,Singapore,Singapore,Asia,Nature,Spring,10,394,4.5,65058,Hotel,Bus
T017,Jaipur,India,Asia,Nature,All Season,4,4016,3.5,383584,Resort,Cruise
T018,London,United Kingdom,Europe,City,Winter,12,2744,4.8,271161,Hostel,Train
T019,Sydney,Australia,Oceania,Heritage,Autumn,14,4644,4.9,319019,Hotel,Flight
T020,Goa,India,Asia,Cultural,Summer,14,2819,3.9,131286,Homestay,Flight
T021,Cape Town,South Africa,Africa,Adventure,Spring,10,1330,3.7,254184,Apartment,Cruise
T022,Jaipur,India,Asia,City,Spring,5,4717,4.6,366689,Homestay,Bus
T023,New Delhi,India,Asia,Cultural,Spring,10,3998,3.7,122806,Hotel,Cruise
T024,Sydney,Australia,Oceania,Beach,Winter,5,2104,3.5,376112,Hotel,Flight
T025,Buenos Aires,Argentina,South America,Luxury,Winter,7,880,4.3,151002,Apartment,Train
T026,Cairo,Egypt,Africa,Wildlife,Winter,11,4172,3.9,252974,Hotel,Flight
T027,Orlando,USA,North America,Beach,Summer,8,3202,4.1,249855,Hotel,Car
T028,Cairo,Egypt,Africa,Luxury,Winter,7,1195,3.9,104724,Homestay,Train
T029,Singapore,Singapore,Asia,Luxury,All Season,9,2346,4.8,44523,Hotel,Flight
T030,Los Angeles,USA,North America,City,Winter,10,420,5.0,490683,Homestay,Car
T031,Agra,India,Asia,Wildlife,Summer,5,3585,4.9,91317,Homestay,Bus
T032,Marrakech,Morocco,Africa,Luxury,Winter,14,4027,3.9,370214,Resort,Bus
T033,Tokyo,Japan,Asia,Beach,Summer,2,4741,3.6,169419,Apartment,Car
T034,Kochi,India,Asia,Cultural,Winter,10,1589,3.6,271248,Hotel,Cruise
T035,Barcelona,Spain,Europe,City,All Season,12,2226,4.1,498667,Apartment,Flight
T036,New York,USA,North America,Heritage,Spring,3,3734,4.5,301341,Resort,Bus
T037,Bangkok,Thailand,Asia,Nature,Autumn,6,3542,3.7,343428,Hostel,Flight
T038,Paris,France,Europe,City,All Season,9,4912,5.0,43409,Hostel,Train
T039,Goa,India,Asia,Luxury,All Season,3,2301,4.1,87704,Hostel,Cruise
T040,Marrakech,Morocco,Africa,Nature,Summer,12,4633,3.5,433397,Resort,Bus
T041,London,United Kingdom,Europe,City,Spring,3,4832,3.7,152721,Resort,Bus
T042,Kochi,India,Asia,Beach,Summer,9,2357,4.9,448602,Homestay,Bus
T043,Rome,Italy,Europe,Nature,Winter,2,3032,4.7,339030,Homestay,Cruise
T044,Toronto,Canada,North America,Adventure,All Season,8,4894,3.5,44449,Hotel,Bus
T045,Melbourne,Australia,Oceania,Nature,Spring,10,1513,4.1,26930,Hotel,Bus
T046,Tokyo,Japan,Asia,Wildlife,All Season,12,2344,4.5,190429,Resort,Train
T047,Buenos Aires,Argentina,South America,Adventure,Spring,4,1750,4.8,17995,Homestay,Train
T048,Singapore,Singapore,Asia,Luxury,Winter,4,1185,4.1,25302,Resort,Car
T049,Goa,India,Asia,City,Autumn,6,2164,3.8,351047,Hostel,Bus
T050,Buenos Aires,Argentina,South America,Wildlife,All Season,3,2586,4.0,272075,Hostel,Flight
T051,London,United Kingdom,Europe,Beach,Summer,6,1762,4.4,144180,Apartment,Car
T052,Goa,India,Asia,Cultural,Autumn,13,2869,4.2,273132,Apartment,Train
T053,Singapore,Singapore,Asia,City,Spring,2,3872,3.5,490267,Homestay,Flight
T054,Orlando,USA,North America,Nature,All Season,7,2871,4.5,70339,Hostel,Car
